#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
5925,Vb-742.CP113-MDE-RMS,742.CP113,2026-01-04,1.93,,2.61,2.01
5926,Vb-742.CP113-MNDE-RMS,742.CP113,2026-01-04,1.13,,2.07,2.36
5927,Vb-331.CP280-CDE-RMS,331.CP280,2026-04-26,6.07,,12.55,7.3
5928,Vb-331.CP280-CNDE-RMS,331.CP280,2026-04-26,11.82,,7.2,12.13
5929,Vb-331.CP280-MDE-RMS,331.CP280,2026-04-26,4.69,,6.43,5.06
5930,Vb-331.CP280-MNDE-RMS,331.CP280,2026-04-26,6.36,,8.82,8.65
5931,Vb-331.CP281-CDE-RMS,331.CP281,2026-04-26,3.98,,5.29,6.62
5932,Vb-331.CP281-CNDE-RMS,331.CP281,2026-04-26,8.72,,7.86,6.1
5933,Vb-331.CP281-MDE-RMS,331.CP281,2026-04-26,4.79,,5.03,3.75
5934,Vb-331.CP281-MNDE-RMS,331.CP281,2026-04-26,5.35,,7.95,5.23
5935,Vb-331.CP282-CDE-RMS,331.CP282,2026-04-05,,,3.3,
5936,Vb-331.CP282-CNDE-RMS,331.CP282,2026-04-05,,,5.57,
5937,Vb-331.CP282-MDE-RMS,331.CP282,2026-04-05,,,4.12,
5938,Vb-461.CP524-CDE-RMS,461.CP524,2026-01-21,2.14,,1.08,2.67
5939,Vb-461.CP524-CNDE-RMS,461.CP524,2026-01-21,1.55,,2.83,2.27
5940,Vb-461.CP524-MDE-RMS,461.CP524,2026-01-21,1.6,,1.57,2.34
5941,Vb-461.CP524-MNDE-RMS,461.CP524,2026-01-21,2.15,,2.02,2.7
5942,,461.CP525,2026-04-30,4.4,,2.75,2.09
5943,,461.CP525,2026-04-30,1.34,,4.19,1.94
5944,,461.CP525,2026-04-30,2.79,,1.04,2.01
5945,,461.CP525,2026-04-30,1.06,,1.17,2.5
5946,Vb-461.CP526-CDE-RMS,461.CP526,2026-04-30,3.28,,2.53,2.01
5947,Vb-461.CP526-CNDE-RMS,461.CP526,2026-04-30,1.6,,4.3,2.59
5948,Vb-461.CP526-MDE-RMS,461.CP526,2026-04-30,2.7,,1.34,3.57
5949,Vb-461.CP526-MNDE-RMS,461.CP526,2026-04-30,1.3,,1.79,2.7
5950,Vb-111.CP400-CDE-RMS,111.CP400,2026-03-15,6.99,,4.83,4.24
5951,Vb-111.CP400-CNDE-RMS,111.CP400,2026-03-15,7.01,,5.35,6.6
5952,Vb-111.CP400-MDE-RMS,111.CP400,2026-03-15,10.66,,9.8,9.77
5953,Vb-111.CP400-MNDE-RMS,111.CP400,2026-03-15,8.96,,4.82,5.2
5954,Vb-331.FN400-FDE-RMS,331.FN400,2026-04-14,0.35,,0.43,0.23
5955,Vb-331.FN400-FNDE-RMS,331.FN400,2026-04-14,,,0.47,0.31
5956,Vb-331.FN400-MDE-RMS,331.FN400,2026-04-14,0.23,,0.31,0.32
5957,Vb-331.FN400-MNDE-RMS,331.FN400,2026-04-14,0.2,,0.39,0.47
5958,Vb-441.FN.590-FDE-RMS,441.FN590,2026-04-06,0.14,,0.19,0.15
5959,Vb-441.FN.590-FNDE-RMS,441.FN590,2026-04-06,0.13,,0.26,0.18
5960,Vb-441.FN.590-MDE-RMS,441.FN590,2026-04-06,0.1,,0.42,0.33
5961,Vb-441.FN.590-MNDE-RMS,441.FN590,2026-04-06,0.11,,0.25,0.11
5962,Vb-441.FN.590-S1DE-RMS,441.FN590,2026-04-06,0.14,,0.19,0.18
5963,Vb-441.FN.590-S1NDE-RMS,441.FN590,2026-04-06,0.13,,0.14,0.28
5964,Vb-441.FN.590-S2DE-RMS,441.FN590,2026-04-06,0.3,,0.25,0.16
5965,Vb-441.FN.590-S2NDE-RMS,441.FN590,2026-04-06,0.31,,0.26,0.18
5966,Vb-461.PP515-MDE-RMS,461.PP515,2026-04-30,0.1,,0.37,0.27
5967,Vb-461.PP515-MNDE-RMS,461.PP515,2026-04-30,0.11,,0.18,0.21
5968,Vb-461.PP515-PDE-RMS,461.PP515,2026-04-30,0.52,,1.44,0.84
5969,Vb-461.PP515-PNDE-RMS,461.PP515,2026-04-30,0.42,,0.66,0.63
5970,Vb-331.FN110-FDE-RMS,331.FN110,2026-04-26,1.08,,1.26,0.83
5971,Vb-331.FN110-FNDE-RMS,331.FN110,2026-04-26,1.1,,1.06,0.41
5972,Vb-331.FN110-MDE-RMS,331.FN110,2026-04-26,1,,2.01,2.12
5973,Vb-331.FN110-MNDE-RMS,331.FN110,2026-04-26,0.65,,0.41,0.84
5974,Vb-431.MD140-MDE-RMS,431.MD140,2026-04-29,0.43,,0.3,0.24
5975,Vb-431.MD140-MNDE-RMS,431.MD140,2026-04-29,0.35,,0.31,0.2
5976,Vb-431.MD140-S1DE-RMS,431.MD140,2026-04-29,0.55,,0.45,0.32
